ip,datetime,method,path,version,status,size,referrer,useragent,responsetime
<ANONYMIZED>,27/Dec/2037:12:00:00 +0530,DELETE,<ANONYMIZED>,HTTP/1.0,500,5063,<ANONYMIZED>,<ANONYMIZED>,4919
<ANONYMIZED>,27/Dec/2037:12:00:00 +0530,PUT,<ANONYMIZED>,HTTP/1.0,200,4889,<ANONYMIZED>,<ANONYMIZED>,1522
<ANONYMIZED>,27/Dec/2037:12:00:00 +0530,PUT,<ANONYMIZED>,HTTP/1.0,304,5016,<ANONYMIZED>,<ANONYMIZED>,3784
<ANONYMIZED>,27/Dec/2037:12:00:00 +0530,GET,<ANONYMIZED>,HTTP/1.0,403,5076,<ANONYMIZED>,<ANONYMIZED>,568
<ANONYMIZED>,27/Dec/2037:12:00:00 +0530,DELETE,<ANONYMIZED>,HTTP/1.0,304,5078,<ANONYMIZED>,<ANONYMIZED>,283
<ANONYMIZED>,27/Dec/2037:12:00:00 +0530,POST,<ANONYMIZED>,HTTP/1.0,304,4947,<ANONYMIZED>,<ANONYMIZED>,2631
<ANONYMIZED>,27/Dec/2037:12:00:00 +0530,PUT,<ANONYMIZED>,HTTP/1.0,404,4996,<ANONYMIZED>,<ANONYMIZED>,1798
<ANONYMIZED>,27/Dec/2037:12:00:00 +0530,POST,<ANONYMIZED>,HTTP/1.0,303,5040,<ANONYMIZED>,<ANONYMIZED>,3520
<ANONYMIZED>,27/Dec/2037:12:00:00 +0530,GET,<ANONYMIZED>,HTTP/1.0,500,5058,<ANONYMIZED>,<ANONYMIZED>,1828
<ANONYMIZED>,27/Dec/2037:12:00:00 +0530,PUT,<ANONYMIZED>,HTTP/1.0,303,5010,<ANONYMIZED>,<ANONYMIZED>,3165
<ANONYMIZED>,27/Dec/2037:12:00:00 +0530,POST,<ANONYMIZED>,HTTP/1.0,200,4993,<ANONYMIZED>,<ANONYMIZED>,4915
<ANONYMIZED>,27/Dec/2037:12:00:00 +0530,POST,<ANONYMIZED>,HTTP/1.0,304,4963,<ANONYMIZED>,<ANONYMIZED>,1507
<ANONYMIZED>,27/Dec/2037:12:00:00 +0530,GET,<ANONYMIZED>,HTTP/1.0,502,4989,<ANONYMIZED>,<ANONYMIZED>,571
<ANONYMIZED>,27/Dec/2037:12:00:00 +0530,POST,<ANONYMIZED>,HTTP/1.0,200,4995,<ANONYMIZED>,<ANONYMIZED>,4732
<ANONYMIZED>,27/Dec/2037:12:00:00 +0530,PUT,<ANONYMIZED>,HTTP/1.0,200,4965,<ANONYMIZED>,<ANONYMIZED>,2836
<ANONYMIZED>,27/Dec/2037:12:00:00 +0530,GET,<ANONYMIZED>,HTTP/1.0,500,4956,<ANONYMIZED>,<ANONYMIZED>,4072
<ANONYMIZED>,27/Dec/2037:12:00:00 +0530,POST,<ANONYMIZED>,HTTP/1.0,200,5055,<ANONYMIZED>,<ANONYMIZED>,1532
<ANONYMIZED>,27/Dec/2037:12:00:00 +0530,PUT,<ANONYMIZED>,HTTP/1.0,502,5001,<ANONYMIZED>,<ANONYMIZED>,1958
<ANONYMIZED>,27/Dec/2037:12:00:00 +0530,POST,<ANONYMIZED>,HTTP/1.0,200,5034,<ANONYMIZED>,<ANONYMIZED>,3041
<ANONYMIZED>,27/Dec/2037:12:00:00 +0530,PUT,<ANONYMIZED>,HTTP/1.0,303,5037,<ANONYMIZED>,<ANONYMIZED>,1191
<ANONYMIZED>,27/Dec/2037:12:00:00 +0530,POST,<ANONYMIZED>,HTTP/1.0,304,4969,<ANONYMIZED>,<ANONYMIZED>,3388
<ANONYMIZED>,27/Dec/2037:12:00:00 +0530,DELETE,<ANONYMIZED>,HTTP/1.0,403,5028,<ANONYMIZED>,<ANONYMIZED>,196
<ANONYMIZED>,27/Dec/2037:12:00:00 +0530,DELETE,<ANONYMIZED>,HTTP/1.0,404,4938,<ANONYMIZED>,<ANONYMIZED>,4618
<ANONYMIZED>,27/Dec/2037:12:00:00 +0530,DELETE,<ANONYMIZED>,HTTP/1.0,303,4976,<ANONYMIZED>,<ANONYMIZED>,2373
<ANONYMIZED>,27/Dec/2037:12:00:00 +0530,PUT,<ANONYMIZED>,HTTP/1.0,403,4955,<ANONYMIZED>,<ANONYMIZED>,2469
<ANONYMIZED>,27/Dec/2037:12:00:00 +0530,GET,<ANONYMIZED>,HTTP/1.0,403,4985,<ANONYMIZED>,<ANONYMIZED>,1656
<ANONYMIZED>,27/Dec/2037:12:00:00 +0530,PUT,<ANONYMIZED>,HTTP/1.0,303,4967,<ANONYMIZED>,<ANONYMIZED>,4966
<ANONYMIZED>,27/Dec/2037:12:00:00 +0530,DELETE,<ANONYMIZED>,HTTP/1.0,502,4992,<ANONYMIZED>,<ANONYMIZED>,1485
<ANONYMIZED>,27/Dec/2037:12:00:00 +0530,GET,<ANONYMIZED>,HTTP/1.0,200,4975,<ANONYMIZED>,<ANONYMIZED>,4356
<ANONYMIZED>,27/Dec/2037:12:00:00 +0530,DELETE,<ANONYMIZED>,HTTP/1.0,502,4992,<ANONYMIZED>,<ANONYMIZED>,53
<ANONYMIZED>,27/Dec/2037:12:00:00 +0530,PUT,<ANONYMIZED>,HTTP/1.0,303,4917,<ANONYMIZED>,<ANONYMIZED>,3010
<ANONYMIZED>,27/Dec/2037:12:00:00 +0530,POST,<ANONYMIZED>,HTTP/1.0,200,5004,<ANONYMIZED>,<ANONYMIZED>,1632
<ANONYMIZED>,27/Dec/2037:12:00:00 +0530,PUT,<ANONYMIZED>,HTTP/1.0,500,5001,<ANONYMIZED>,<ANONYMIZED>,186
<ANONYMIZED>,27/Dec/2037:12:00:00 +0530,GET,<ANONYMIZED>,HTTP/1.0,500,4901,<ANONYMIZED>,<ANONYMIZED>,2781
<ANONYMIZED>,27/Dec/2037:12:00:00 +0530,DELETE,<ANONYMIZED>,HTTP/1.0,502,5068,<ANONYMIZED>,<ANONYMIZED>,298
<ANONYMIZED>,27/Dec/2037:12:00:00 +0530,PUT,<ANONYMIZED>,HTTP/1.0,500,4973,<ANONYMIZED>,<ANONYMIZED>,2324
<ANONYMIZED>,27/Dec/2037:12:00:00 +0530,DELETE,<ANONYMIZED>,HTTP/1.0,303,4947,<ANONYMIZED>,<ANONYMIZED>,2700
<ANONYMIZED>,27/Dec/2037:12:00:00 +0530,GET,<ANONYMIZED>,HTTP/1.0,200,4961,<ANONYMIZED>,<ANONYMIZED>,439
<ANONYMIZED>,27/Dec/2037:12:00:00 +0530,GET,<ANONYMIZED>,HTTP/1.0,502,5016,<ANONYMIZED>,<ANONYMIZED>,3196
<ANONYMIZED>,27/Dec/2037:12:00:00 +0530,PUT,<ANONYMIZED>,HTTP/1.0,500,5041,<ANONYMIZED>,<ANONYMIZED>,9
<ANONYMIZED>,27/Dec/2037:12:00:00 +0530,GET,<ANONYMIZED>,HTTP/1.0,304,4952,<ANONYMIZED>,<ANONYMIZED>,1801
<ANONYMIZED>,27/Dec/2037:12:00:00 +0530,DELETE,<ANONYMIZED>,HTTP/1.0,403,4979,<ANONYMIZED>,<ANONYMIZED>,1375
<ANONYMIZED>,27/Dec/2037:12:00:00 +0530,DELETE,<ANONYMIZED>,HTTP/1.0,303,4962,<ANONYMIZED>,<ANONYMIZED>,3595
<ANONYMIZED>,27/Dec/2037:12:00:00 +0530,GET,<ANONYMIZED>,HTTP/1.0,502,5016,<ANONYMIZED>,<ANONYMIZED>,844
<ANONYMIZED>,27/Dec/2037:12:00:00 +0530,POST,<ANONYMIZED>,HTTP/1.0,500,5020,<ANONYMIZED>,<ANONYMIZED>,1679
<ANONYMIZED>,27/Dec/2037:12:00:00 +0530,GET,<ANONYMIZED>,HTTP/1.0,303,4960,<ANONYMIZED>,<ANONYMIZED>,1878
<ANONYMIZED>,27/Dec/2037:12:00:00 +0530,POST,<ANONYMIZED>,HTTP/1.0,303,5072,<ANONYMIZED>,<ANONYMIZED>,3664
<ANONYMIZED>,27/Dec/2037:12:00:00 +0530,PUT,<ANONYMIZED>,HTTP/1.0,200,5021,<ANONYMIZED>,<ANONYMIZED>,1414
<ANONYMIZED>,27/Dec/2037:12:00:00 +0530,POST,<ANONYMIZED>,HTTP/1.0,404,5001,<ANONYMIZED>,<ANONYMIZED>,2277
<ANONYMIZED>,27/Dec/2037:12:00:00 +0530,PUT,<ANONYMIZED>,HTTP/1.0,200,4963,<ANONYMIZED>,<ANONYMIZED>,261
<ANONYMIZED>,27/Dec/2037:12:00:00 +0530,GET,<ANONYMIZED>,HTTP/1.0,404,4951,<ANONYMIZED>,<ANONYMIZED>,543
<ANONYMIZED>,27/Dec/2037:12:00:00 +0530,PUT,<ANONYMIZED>,HTTP/1.0,303,5029,<ANONYMIZED>,<ANONYMIZED>,4953
<ANONYMIZED>,27/Dec/2037:12:00:00 +0530,DELETE,<ANONYMIZED>,HTTP/1.0,200,5046,<ANONYMIZED>,<ANONYMIZED>,2076
<ANONYMIZED>,27/Dec/2037:12:00:00 +0530,GET,<ANONYMIZED>,HTTP/1.0,403,5081,<ANONYMIZED>,<ANONYMIZED>,4992
